"","geo_merge","cases_final","case_rate_final","adj_case_rate_final","deaths_final","death_rate_final","adj_death_rate_final","population"
"180","Los Angeles - San Pedro",5996,7683,7747,74,95,86,78038
"181","Los Angeles - Shadow Hills",325,7317,7632,2,45,32,4442
"182","Los Angeles - Sherman Oaks",4811,5514,5914,68,78,68,87254
"183","Los Angeles - Silverlake",2730,6193,6479,77,175,150,44083
"184","Los Angeles - South Carthay",601,5672,6477,5,47,36,10595
"185","Los Angeles - South Park",6644,17502,17892,67,176,272,37961
"186","Los Angeles - St Elmo Village",538,11736,11925,19,414,663,4584
"187","Los Angeles - Studio City",1112,4955,5333,34,152,124,22440
"188","Los Angeles - Sun Valley",8186,15597,15317,93,177,180,52483
"189","Los Angeles - Sunland",1914,9379,9532,43,211,152,20408
"190","Los Angeles - Sycamore Square",26,4019,5414,2,309,675,647
"191","Los Angeles - Sylmar",14084,17093,16856,174,211,247,82398
"192","Los Angeles - Tarzana",2840,9198,9197,57,185,118,30876
"193","Los Angeles - Temple-Beaudry",4463,11304,11022,74,187,215,39482
"194","Los Angeles - Thai Town",738,7524,7542,9,92,65,9809
"195","Los Angeles - Toluca Lake",412,4733,5553,6,69,59,8704
"196","Los Angeles - Toluca Terrace",117,8959,10513,1,77,72,1306
"197","Los Angeles - Toluca Woods",90,4844,5326,0,0,0,1858
"198","Los Angeles - Tujunga",2352,8457,8332,41,147,119,27810
"199","Los Angeles - University Hills",245,7145,7303,1,29,19,3429
"200","Los Angeles - University Park",2835,10326,12458,37,135,258,27456
"201","Los Angeles - Valley Glen",3291,10964,10802,44,147,142,30016
"202","Los Angeles - Valley Village",1693,6849,7078,49,198,165,24720
"203","Los Angeles - Van Nuys",12860,13799,13723,218,234,289,93194
"204","Los Angeles - Venice",1307,3857,4622,13,38,37,33885
"205","Los Angeles - Vermont Knolls",2529,14703,14678,37,215,243,17200
"206","Los Angeles - Vermont Square",1332,17396,17206,10,131,144,7657
"207","Los Angeles - Vermont Vista",6705,16280,16533,60,146,231,41186
"208","Los Angeles - Vernon Central",10089,19403,19777,103,198,317,51998
"209","Los Angeles - Victoria Park",945,11251,11049,9,107,94,8399
"210","Los Angeles - View Heights",204,5522,5552,4,108,84,3694
"211","Los Angeles - Watts",6645,15572,16277,67,157,266,42674
"212","Los Angeles - Wellington Square",496,10092,10002,7,142,143,4915
"213","Los Angeles - West Adams",3481,12599,12419,103,373,361,27630
"214","Los Angeles - West Hills",2540,6265,6556,77,190,125,40545
"215","Los Angeles - West Los Angeles",1959,5205,5419,32,85,89,37636
"216","Los Angeles - West Vernon",9084,16934,16826,117,218,278,53644
"217","Los Angeles - Westchester",2018,3911,3776,33,64,58,51603
"218","Los Angeles - Westlake",6837,11519,11560,205,345,406,59355
"219","Los Angeles - Westwood",2116,3911,3280,19,35,32,54109
"220","Los Angeles - Wholesale District",5741,15890,14659,74,205,238,36129
"221","Los Angeles - Wilmington",7134,12629,12584,52,92,114,56487
"222","Los Angeles - Wilshire Center",4712,9392,9239,70,140,139,50170
"223","Los Angeles - Winnetka",5876,11347,11141,51,98,103,51786
"224","Los Angeles - Woodland Hills",4083,6000,6116,59,87,53,68055
"225","Unincorporated - Acton",380,4767,5374,6,75,55,7971
"226","Unincorporated - Agua Dulce",203,4882,6174,2,48,28,4158
"227","Unincorporated - Altadena",2822,6470,6701,46,105,78,43620
"228","Unincorporated - Anaverde",128,8488,8985,0,0,0,1508
"229","Unincorporated - Angeles National Forest",26,2088,2996,0,0,0,1245
"230","Unincorporated - Arcadia",524,6566,6716,11,138,114,7981
"231","Unincorporated - Athens Village",976,19931,20062,23,470,544,4897
"232","Unincorporated - Athens-Westmont",5596,13185,13286,60,141,156,42442
"233","Unincorporated - Avocado Heights",972,14347,14144,10,148,153,6775
"234","Unincorporated - Azusa",2066,12975,12691,23,144,173,15923
"235","Unincorporated - Bassett",2312,15604,15362,26,175,170,14817
"236","Unincorporated - Bouquet Canyon",39,3635,4249,1,93,82,1073
"237","Unincorporated - Bradbury",48,44444,2495,12,11111,746,108
"238","Unincorporated - Canyon Country",670,8670,9083,3,39,43,7728
"239","Unincorporated - Castaic",3352,12328,11681,11,40,57,27191
"240","Unincorporated - Cerritos",65,11073,10775,0,0,0,587
"241","Unincorporated - Claremont",40,5698,7011,4,570,429,702
"242","Unincorporated - Covina",2022,12022,11756,22,131,116,16819
"243","Unincorporated - Covina (Charter Oak)",1326,10088,9896,7,53,54,13144
"244","Unincorporated - Del Aire",251,5714,5678,3,68,63,4393
"245","Unincorporated - Del Rey",20,6289,7720,0,0,0,318
"246","Unincorporated - Del Sur",146,6046,6694,1,41,32,2415
"247","Unincorporated - Desert View Highlands",304,12194,12142,2,80,70,2493
"248","Unincorporated - Duarte",755,17051,16833,8,181,219,4428
"249","Unincorporated - East Covina",30,9119,14261,1,304,91,329
"250","Unincorporated - East La Mirada",442,8352,8424,4,76,62,5292
"251","Unincorporated - East Lancaster",15,13158,13160,0,0,0,114
"252","Unincorporated - East Los Angeles",22716,18134,18079,279,223,268,125269
"253","Unincorporated - East Pasadena",175,2733,2676,6,94,62,6403
"254","Unincorporated - East Rancho Dominguez",2457,16050,16295,36,235,329,15308
"255","Unincorporated - East Whittier",406,7652,7514,3,57,43,5306
"256","Unincorporated - El Camino Village",692,7872,7937,9,102,80,8791
"257","Unincorporated - El Monte",23,15862,18850,0,0,0,145
"258","Unincorporated - Elizabeth Lake",68,4094,4534,0,0,0,1661
"259","Unincorporated - Florence-Firestone",12199,18853,19037,129,199,284,64705
"260","Unincorporated - Franklin Canyon",1,8333,4845,0,0,0,12
"261","Unincorporated - Glendora",59,8939,8970,2,303,155,660
"262","Unincorporated - Hacienda Heights",4528,8096,8173,68,122,84,55926
"263","Unincorporated - Hawthorne",280,11138,10947,1,40,53,2514
"264","Unincorporated - Hi Vista",39,3552,3875,0,0,0,1098
"265","Unincorporated - Kagel/Lopez Canyons",176,12465,13663,2,142,144,1412
"266","Unincorporated - La Crescenta-Montrose",900,4545,4820,8,40,30,19801
"267","Unincorporated - La Habra Heights",12,1775,2699,1,148,88,676
"268","Unincorporated - La Rambla",189,9108,8546,15,723,488,2075
"269","Unincorporated - La Verne",141,6912,7468,0,0,0,2040
"270","Unincorporated - Ladera Heights",321,4540,4746,6,85,39,7071
"271","Unincorporated - Lake Hughes",35,5240,5750,0,0,0,668
"272","Unincorporated - Lake Los Angeles",1364,10497,10777,5,38,49,12994
"273","Unincorporated - Lake Manor",115,6999,7963,1,61,47,1643
"274","Unincorporated - Lennox",3082,13672,13610,29,129,205,22542
"275","Unincorporated - Leona Valley",97,5540,7039,0,0,0,1751
"276","Unincorporated - Littlerock",454,11291,11335,4,99,75,4021
"277","Unincorporated - Littlerock/Juniper Hills",97,7479,7748,1,77,31,1297
"278","Unincorporated - Littlerock/Pearblossom",450,12609,13012,3,84,96,3569
"279","Unincorporated - Llano",32,3649,3909,0,0,0,877
"280","Unincorporated - Marina del Rey",284,3018,2599,0,0,0,9411
"281","Unincorporated - Monrovia",321,8271,8310,1,26,25,3881
"282","Unincorporated - Newhall",61,27727,28947,0,0,0,220
"283","Unincorporated - North Lancaster",122,10184,10644,1,83,32,1198
"284","Unincorporated - North Whittier",1004,12010,11906,17,203,175,8360
"285","Unincorporated - Northeast San Gabriel",1421,5912,5989,28,116,93,24036
"286","Unincorporated - Palmdale",98,11639,12231,1,119,171,842
"287","Unincorporated - Palos Verdes Peninsula",18,2899,3837,0,0,0,621
"288","Unincorporated - Pearblossom/Llano",110,5624,6195,1,51,20,1956
"289","Unincorporated - Pellissier Village",146,23586,23403,1,162,128,619
"290","Unincorporated - Pomona",55,2838,6664,1,52,86,1938
"291","Unincorporated - Quartz Hill",1010,7826,7955,17,132,92,12906
"292","Unincorporated - Rancho Dominguez",326,12251,13126,4,150,80,2661
"293","Unincorporated - Roosevelt",74,7948,9009,0,0,0,931
"294","Unincorporated - Rosewood",135,10498,11458,2,156,121,1286
"295","Unincorporated - Rosewood/East Gardena",147,12322,12981,4,335,260,1193
"296","Unincorporated - Rosewood/West Rancho Dominguez",433,12883,12703,6,179,147,3361
"297","Unincorporated - Rowland Heights",3162,6197,6232,37,73,56,51022
"298","Unincorporated - San Francisquito Canyon/Bouquet C",13,1515,2158,0,0,0,858
"299","Unincorporated - San Jose Hills",3167,15662,15469,37,183,199,20221
"300","Unincorporated - San Pasqual",28,1376,1530,0,0,0,2035
"301","Unincorporated - Sand Canyon",13,4221,10988,0,0,0,308
"302","Unincorporated - Santa Catalina Island",137,51311,62325,1,375,481,267
"303","Unincorporated - Santa Monica Mountains",440,2363,2667,2,11,8,18621
"304","Unincorporated - Saugus",112,72258,66130,0,0,0,155
"305","Unincorporated - Saugus/Canyon Country",29,8146,19248,0,0,0,356
"306","Unincorporated - South Antelope Valley",24,5275,5849,0,0,0,455
"307","Unincorporated - South El Monte",308,17159,16718,1,56,46,1795
"308","Unincorporated - South San Gabriel",822,9290,8827,33,373,228,8848
"309","Unincorporated - South Whittier",7302,12330,12086,102,172,183,59222
"310","Unincorporated - Southeast Antelope Valley",69,8835,9562,0,0,0,781
"311","Unincorporated - Stevenson Ranch",907,4326,4203,4,19,26,20966
"312","Unincorporated - Sun Village",801,13270,13598,5,83,90,6036
"313","Unincorporated - Sunrise Village",170,13117,13629,1,77,63,1296
"314","Unincorporated - Twin Lakes/Oat Mountain",74,4463,4566,2,121,126,1658
"315","Unincorporated - Val Verde",259,7827,7665,1,30,50,3309
"316","Unincorporated - Valencia",154,5013,6546,0,0,0,3072
"317","Unincorporated - Valinda",3311,14167,13902,40,171,177,23371
"318","Unincorporated - View Park/Windsor Hills",587,5045,5182,10,86,38,11635
"319","Unincorporated - Walnut Park",2722,16862,16680,28,173,197,16143
"320","Unincorporated - West Antelope Valley",42,2780,3551,0,0,0,1511
"321","Unincorporated - West Carson",1822,8250,7951,82,371,223,22086
"322","Unincorporated - West LA",187,19643,17175,9,945,561,952
"323","Unincorporated - West Puente Valley",1532,15577,15236,18,183,172,9835
"324","Unincorporated - West Rancho Dominguez",162,11921,11789,5,368,320,1359
"325","Unincorporated - West Whittier/Los Nietos",3803,14124,13909,67,249,236,26925
"326","Unincorporated - Westfield/Academy Hills",27,2077,2189,0,0,0,1300
"327","Unincorporated - Westhills",40,4768,5709,0,0,0,839
"328","Unincorporated - White Fence Farms",227,6163,6322,0,0,0,3683
"329","Unincorporated - Whittier",272,7188,7215,7,185,132,3784
"330","Unincorporated - Whittier Narrows",8,66667,41180,1,8333,3606,12
"331","Unincorporated - Willowbrook",5342,15301,15473,50,143,184,34913
"332","Unincorporated - Wiseburn",420,6969,6823,7,116,102,6027
"333","Unincorporated - Charter Oak",0,0,0,0,0,0,20
"334","Unincorporated - Harbor Gateway",0,0,0,0,0,0,1
"335","Unincorporated - Placerita Canyon",0,0,0,0,0,0,460
